,EMD_NM,EMPLOYEENUM,EMD_CD,수정 전 동 이름
0,가락동,3,11710107,
1,가산동,27,11545101,
2,개포동,3,11680103,
3,거여동,4,11710113,
4,계동,1,11110148,
5,공덕동,1,11440102,
6,공릉동,2,11350103,
7,관철동,1,11110135,
8,구로동,6,11530102,
9,구의동,1,11215103,
10,남대문로5가,1,11140118,
11,논현동,3,11680108,
12,다동,2,11140102,
13,당산동,1,11560117,
14,당산동1가,1,11560111,
15,당산동2가,3,11560112,
16,당산동3가,1,11560113,
17,당주동,2,11110117,
18,대방동,3,11590108,
19,대치동,6,11680106,
20,도봉동,2,11320108,
21,도선동,1,11200104,
22,도화동,1,11440104,
23,독산동,4,11545102,
24,돈암동,1,11290103,
25,동교동,1,11440121,
26,마곡동,13,11500105,
27,명동1가,1,11140126,
28,문래동3가,2,11560121,
29,문정동,10,11710108,
30,반포동,3,11650107,
31,방이동,5,11710111,
32,방학동,2,11320106,
33,보문동1가,1,11290130,
34,봉천동,4,11620101,
35,북가좌동,1,11410119,
36,사당동,1,11590107,
37,삼선동5가,1,11290115,
38,삼성동,18,11680105,
39,상암동,3,11440127,
40,서교동,1,11440120,
41,서초동,7,11650108,
42,석관동,1,11290139,
43,성내동,1,11740108,
44,성산동,2,11440125,
45,성수동2가,2,11200115,
46,소공동,1,11140111,
47,송파동,2,11710104,
48,수유동,2,11305103,
49,순화동,8,11140168,
50,시흥동,1,11545103,
51,신당동,2,11140162,
52,신천동,1,11710102,
53,쌍문동,1,11320105,
54,암사동,1,11740107,
55,양재동,1,11650102,
56,양평동4가,1,11560128,
57,양평동5가,5,11560129,
58,여의도동,30,11560110,
59,역삼동,15,11680101,
60,연건동,2,11110166,
61,염곡동,10,11650110,
62,염창동,1,11500101,
63,영등포동8가,1,11560109,
64,오류동,21,11530108,
65,우이동,2,11305104,
66,원효로2가,7,11170113,
67,을지로6가,2,11140148,
68,잠원동,3,11650106,
69,장지동,2,11710109,
70,정동,2,11140167,
71,제기동,3,11230103,
72,중화동,1,11260103,
73,천호동,1,11740109,
74,청담동,3,11680104,
75,필동2가,1,,필동
76,한강로3가,2,11170128,
77,한남동,2,11170131,
78,홍은동,3,11410118,
79,회현동2가,6,11140122,
