EMD_NM,TAXI_CNT,수정 전 동 이름
가락동,2774,"가락1동, 가락본동"
가리봉동,92,
가산동,156,
가양동,13316,"가양제1,2,3동"
갈현동,130,"갈현제1,2동"
강일동,4199,
개봉동,1845,"개봉제1,2,3동"
개포동,14,개포2동
개포동,2059,일원2동(행정동+주민센터)
거여동,281,"거여1,2동"
고덕동,6269,고독제1동
고척동,2955,"고척제1,2동"
공덕동,308,
공릉동,6581,"공릉1,2,3동"
공항동,594,
광장동,12,
광희동1가,375,광희동(행정동+주민센터)
교남동,2400,
구로동,11321,"구로제2,3,4,5동"
구산동,8256,
구의동,12505,"구의제1,2,3동"
군자동,53,
궁동,2426,수궁동(행정동+주민센터)
궁정동,3696,청운효자동(행정동+주민센터)
금호동1가,34,금호1가동
금호동2가,10,"금호2,3가동(행정동+주민센터)"
길동,5598,
길음동,5990,"길음제1,2동"
남가좌동,2358,"남가좌제1,2동"
남산동2가,1907,명동(행정동+주민센터)
남영동,1282,
내곡동,1885,
내발산동,4427,발산제1동(행정동+주민센터)
노량진동,270,"노량진제1,2동"
녹번동,253,
논현동,25,논현1동
능동,76,
답십리동,1069,"답십리제2,3,4동"
당산동1가,153,당산제1동(행정동+주민센터)
당산동4가,46,당산제2동(행정동+주민센터)
대림동,4661,"대림제1,3동"
대방동,1240,
대조동,518,
대치동,270,"대치1,2,4동"
대흥동,3764,
도곡동,2852,도곡1동
도림동,51,
도봉동,9526,"도봉제1,2동"
도화동,73,
독산동,4029,"독산제1,3,4동"
돈암동,50,돈암제2동
동선동1가,48,동선동(행정동+주민센터)
둔촌동,6713,둔촌제2동
등촌동,9980,"등촌제1,3동"
마장동,3731,
마천동,167,"마천1,2동"
망우동,2747,"망우본동, 망우제3동"
망원동,3929,"망원제1,2동"
면목동,4265,"면목본동, 면목제2,3,4,7,8동"
명일동,2226,"명일제1,2동"
목동,4496,"목1,2,4,5동"
묵동,3217,"묵제1,2동"
문래동3가,114,문래동(행정동+주민센터)
문정동,512,문정2동
미아동,88,
미아동,2859,삼각산동
미아동,253,삼양동
미아동,2872,송중동
미아동,890,송천동
반포동,3010,반포4동
방배동,194,"방배2,4동"
방이동,895,방이2동
방이동,773,오륜동
방학동,3996,"방학제1,2,3동"
방화동,16855,"방화제1,2,3동"
번동,11148,"번제1,2,3동"
보광동,12,
보문동7가,103,보문동(행정동+주민센터)
봉천동,366,낙성대동
봉천동,6911,보라매동
봉천동,525,성현동
봉천동,1887,은천동
봉천동,4,인헌동
봉천동,26,중앙동
봉천동,32,청룡동
봉천동,176,행운동
부암동,25,
북가좌동,881,북가좌제2동
북아현동,2549,
북아현동,625,충현동(행정동+주민센터)
불광동,474,"불광제1,2동"
사근동,1450,
사당동,21,"사당제2,3,4동"
사직동,1058,
산천동,6,원효로제2동(행정동+주민센터)
삼선동4가,953,삼선동(행정동+주민센터)
삼성동,1327,"삼성1동, 삼성동"
삼청동,10,
상계동,37764,"상계1,2,3,4,5,6,7,9,10동"
상도동,1460,"상도제1,2,3,4동"
상봉동,2426,"상봉제1,2동"
상암동,11667,
상왕십리동,4660,왕십리도선동(행정동+주민센터)
상월곡동,2002,월곡제2동(행정동+주민센터)
상일동,6563,
서교동,2342,
서빙고동,691,
서초동,5894,"서초1,2,3,4동"
석관동,589,
석촌동,77,
성내동,186,"성내제1,2,3동"
성북동,66,
성산동,19926,"성산제1,2동"
성수동1가,505,"성수1가제1동, 성수1가제2동"
성수동2가,29,"성수2가제1동, 성수2가제3동"
세곡동,6959,
소공동,62,
송파동,12,송파1동
수서동,6563,
수유동,1421,"수유제1,2,3동"
수유동,13272,인수동
숭인동,42,숭인제2동
시흥동,474,"시흥제1,2,4동"
신길동,165,"신길제1,3,4,5,6,7동"
신내동,12981,"신내1,2동"
신당동,56,"신당제1,3,4동"
신대방동,10842,"신대방제1,2동"
신도림동,222,
신림동,20,난곡동
신림동,119,난향동
신림동,22,대학동
신림동,381,미성동
신림동,60,서림동
신림동,556,서원동
신림동,51,
신사동(강남구),216,신사동
신사동(은평구),219,신사제1동
신설동,2197,
신원동,36,
신월동,152,"신월1,2,3,4,5,7동"
신정동(양천구),19587,"신정2,3,4,6,7"
신천동,421,잠실6동
신촌동,21597,
쌍문동,3318,"쌍문제1,2,3,4동"
아현동,76,
안암동2가,2316,안암동(행정동+주민센터)
암사동,319,암사제1동
압구정동,245,
양재동,186,양재2동
양평동1가,34,양평제1동(행정동+주민센터)
양평동4가,145,양평제2동(행정동+주민센터)
여의도동,11802,여의동
역삼동,3371,역삼1동
역촌동,19849,
연희동,10815,
염창동,277,
영등포동,12001,영등포동+영등포본동
오금동,3192,
오류동,4636,오류제2동
옥수동,5,
용답동,10,
용두동,795,
우면동,4341,양재1동
우이동,449,
월계동,16161,"월계1,2,3동"
을지로3가,7,을지로동(행정동+주민센터)
응암동,5408,"응암제1,2,3동"
이문동,280,"이문제2,3동"
이화동,11160,
익선동,6650,종로1.2.3.4가동(행정동+주민센터)
일원동,5844,일원1동+일원본동
자양동,312,"자양제1,2,3,4동"
잠실동,1023,"잠실2,3,7동, 잠실본동"
잠원동,56,반포3동
잠원동,90,
장안동,403,"장안제1,2,3,4동"
장위동,398,"장위제1,2동"
장지동,5017,
장충동1가,58,장충동(행정동+주민센터)
전농동,902,"전농제2,3동"
정릉동,40,"정릉제1,2,3,4동"
제기동,96,"제기제1,2동"
종암동,3157,
중계동,14072,"중계1,2,3,4동, 중계본동"
중곡동,263,"중곡제1,2,4동"
중림동,11,
중화동,248,"중화제1,2동"
증산동,25,
진관동,7052,
창동,5252,"창제1,2,3,4,5동"
창신동,109,창신제1동
창전동,96,서강동(행정동+주민센터)
천연동,15,
천호동,6369,"천호제1,2,3동"
청담동,43,
청량리동,203,
청파동2가,17,청파동(행정동+주민센터)
평창동,184,
풍납동,7882,풍납2동
필동2가,24,필동(행정동+주민센터)
하계동,22843,
하왕십리동,49,왕십리제2동
하월곡동,133,월곡제1동
한강로2가,1367,한강로동(행정동+주민센터)
한남동,111,
합정동,37,
행당동,545,"행당제1,2동"
혜화동,86,
홍은동,3608,"홍은제1,2동"
홍제동,177,"홍제제1,2,3동"
화곡동,2319,우장산동(행정동+주민센터)
화곡동,1123,"화곡본동, 화곡제1,3,4,6,8동"
화양동,2131,
황학동,34,
회기동,2847,
회현동1가,1127,회현동(행정동+주민센터)
효제동,43,종로5.6가동(행정동+주민센터)
효창동,816,
휘경동,5731,"휘경제1,2동"
흑석동,2857,
