ID,DISALBED,SHOPPING MALL,TAXI,EMPLOYEE,WELFARE CENTER,CARD
11710107,1235,6,2774,3,0,3205
11530103,305,0,92,0,2,471
11545101,437,6,156,27,0,5397
11500104,2654,4,13316,0,4,1911
11110146,97,0,0,0,0,573
11170104,1250,0,0,0,2,3540
11380104,890,2,130,0,2,2208
11740110,2333,0,4199,0,0,729
11530107,648,5,1845,0,2,3259
11680103,790,2,2073,3,4,734
11500110,0,0,0,0,1,0
11710113,0,1,281,4,3,1703
11110129,0,0,0,0,0,0
11110134,0,0,0,0,0,0
11110148,0,0,0,1,0,0
11740102,807,1,6269,0,3,827
11530106,1424,10,2955,0,0,2058
11440102,851,4,308,1,0,1599
11350103,2110,4,6581,2,2,5886
11110127,0,0,0,0,0,0
11500108,623,0,594,0,0,3749
11500111,0,0,0,0,0,0
11110155,0,0,0,0,0,0
11110135,0,0,0,1,0,0
11110128,0,0,0,0,0,0
11215104,418,1,12,0,0,1788
11140145,155,0,375,0,0,3971
11140146,0,0,0,0,0,0
11110176,0,0,2400,0,0,0
11110180,0,0,0,0,0,0
11110182,0,0,0,0,0,0
11530102,2989,19,11321,6,2,4068
11380105,988,2,8256,0,8,1161
11440113,0,1,0,0,0,0
11215103,1580,8,12505,1,3,3630
11215109,442,1,53,0,0,2270
11530109,713,0,2426,0,1,1169
11110103,200,0,3696,0,0,747
11110131,0,0,0,0,0,0
11200109,382,1,34,0,0,656
11200110,570,0,10,0,0,1217
11200111,0,2,0,0,0,0
11200112,303,0,0,0,1,798
11740105,1138,4,5598,0,0,5828
11290134,905,14,5990,0,0,3929
11110137,0,1,0,0,0,0
11410120,913,2,2358,0,1,1547
11140106,0,0,0,0,0,0
11140115,0,1,0,0,0,0
11140116,0,0,0,0,0,0
11140117,0,0,0,0,0,0
11140118,0,0,0,1,0,0
11140128,0,0,0,0,1,0
11140129,66,0,1907,0,1,6745
11140130,0,0,0,0,0,0
11170105,302,1,1282,0,0,0
11140112,0,4,0,0,0,0
11140140,0,0,0,0,0,0
11620103,318,1,0,0,0,2084
11650109,400,0,1885,0,2,0
11500106,873,2,4427,0,0,3628
11110118,0,0,0,0,0,0
11110114,0,0,0,0,0,0
11410105,0,0,0,0,0,0
11440110,0,2,0,0,0,0
11590101,1055,0,270,0,0,3805
11380102,908,0,253,0,0,2482
11680108,582,9,25,3,0,6389
11110109,0,0,0,0,0,0
11110110,0,0,0,0,1,0
11215102,217,0,76,0,1,2237
11140102,0,0,0,2,0,0
11230105,1457,2,1069,0,0,1979
11560117,0,0,0,1,0,0
11560111,472,1,153,1,0,0
11560112,530,1,0,3,0,0
11560113,0,1,0,1,0,5677
11560114,0,0,46,0,0,3058
11560115,0,1,0,0,0,0
11560116,0,0,0,0,0,0
11440118,0,0,0,0,0,0
11110117,0,0,0,2,0,0
11560133,1449,6,4661,0,0,2290
11590108,878,3,1240,3,0,3380
11410113,0,0,0,0,0,0
11380106,677,4,518,0,0,4446
11680106,715,6,270,6,0,3222
11410112,0,1,0,0,0,0
11440108,246,1,3764,0,0,0
11680118,530,2,2852,0,0,646
11110116,0,0,0,0,0,0
11560118,510,2,51,0,1,1521
11320108,1653,2,9526,2,2,2057
11200104,554,0,0,1,0,2147
11170120,0,0,0,0,0,0
11440104,395,1,73,1,0,1557
11545102,2822,11,4029,4,1,1111
11290103,1288,5,50,1,1,2901
11110153,0,0,0,0,0,0
11440121,0,4,0,1,0,0
11170132,0,0,0,0,0,0
11290116,301,1,48,0,0,0
11290117,0,0,0,0,0,0
11290118,0,0,0,0,0,0
11290119,0,0,0,0,1,0
11290120,0,0,0,0,0,0
11290104,0,0,0,0,0,0
11290105,0,0,0,0,0,0
11290106,0,0,0,0,0,0
11290107,0,0,0,0,0,0
11290108,0,1,0,0,0,0
11290109,0,0,0,0,0,0
11290110,0,0,0,0,0,0
11110168,0,0,0,0,1,0
11170107,0,0,0,0,0,0
11590106,0,0,0,0,0,0
11740106,556,0,6713,0,0,3102
11500102,2831,2,9980,0,2,6076
11500105,0,3,0,13,2,0
11200105,667,2,3731,0,3,4062
11710114,1416,2,167,0,2,2651
11440107,0,0,0,0,0,0
11140173,0,0,0,0,0,0
11140174,0,1,0,0,0,0
11260105,1647,2,2747,0,0,5160
11440123,926,2,3929,0,0,1645
11260101,4250,4,4265,0,1,2734
11140126,0,0,0,1,0,0
11140127,0,2,0,0,0,0
11110170,0,0,0,0,0,0
11110171,0,0,0,0,0,0
11110173,0,0,0,0,0,0
11110172,0,0,0,0,0,0
11740101,695,5,2226,0,1,1800
11470102,2331,14,4496,0,0,2518
11110151,0,0,0,0,0,0
11140101,0,0,0,0,0,0
11110187,157,0,0,0,0,490
11140164,0,0,0,0,0,0
11260104,1384,1,3217,0,0,1854
11140136,0,0,0,0,0,0
11560119,0,0,0,0,0,0
11560120,0,0,0,0,0,0
11560121,575,4,114,2,0,5748
11560122,0,0,0,0,0,0
11560123,0,0,0,0,0,0
11560124,0,0,0,0,0,0
11170122,0,0,0,0,0,1344
11710108,607,5,512,10,1,2355
11410104,0,0,0,0,0,0
11305101,3063,11,6962,0,0,1101
11650107,927,7,3010,3,0,6688
11650101,1531,5,194,0,6,1958
11140153,0,0,0,0,0,0
11710111,878,3,1668,5,3,1186
11320106,2893,4,3996,2,1,1185
11500109,3081,5,16855,0,2,1067
11305102,2463,2,11148,0,2,1500
11170136,324,1,12,0,0,747
11290130,0,0,0,1,0,0
11290131,0,0,0,0,0,0
11290132,0,0,0,0,0,0
11290126,0,2,0,0,0,0
11290127,0,0,0,0,0,0
11290128,0,1,0,0,0,0
11290129,345,1,103,0,0,1116
11590104,0,0,0,0,0,0
11140119,0,0,0,0,0,0
11140120,0,3,0,0,0,0
11410115,0,0,0,0,0,0
11110152,0,0,0,0,0,0
11620101,5487,14,9927,4,4,3956
11110184,149,0,25,0,0,484
11410119,1278,2,881,1,0,1893
11410110,709,0,3174,0,2,597
11140113,0,0,0,0,0,4764
11380103,1646,7,474,0,1,1556
11110144,0,0,0,0,0,0
11200106,258,0,1450,0,0,2130
11590107,1953,5,21,1,1,392
11110115,170,0,1058,0,0,3421
11140157,0,1,0,0,0,0
11170115,0,0,6,0,0,730
11140107,747,0,0,0,0,0
11290111,0,1,0,0,0,0
11290112,0,0,0,0,0,0
11290113,0,0,0,0,0,0
11290114,0,0,953,0,0,0
11290115,0,0,0,1,0,0
11680105,1345,9,1327,18,0,1947
11710106,534,1,0,0,1,2511
11110140,63,0,10,0,0,1054
11350105,5046,6,37764,0,14,4765
11590103,815,0,0,0,0,0
11590102,1869,6,1460,0,2,1297
11260102,1307,4,2426,0,0,4294
11440115,0,0,0,0,0,0
11440127,618,0,11667,3,0,2592
11200101,0,0,4660,0,0,0
11290137,658,0,2002,0,0,0
11740103,282,0,6563,0,3,1640
11170108,0,11,0,0,0,0
11440120,362,3,2342,1,0,10064
11110123,478,2,0,0,0,0
11170133,206,0,691,0,0,476
11140166,0,0,0,0,0,0
11650108,1044,10,5894,7,3,2397
11290139,1035,4,589,1,0,2814
11710105,584,2,77,0,0,1767
11740108,1486,5,186,1,0,3480
11290101,298,0,66,0,0,1996
11290102,0,0,0,0,0,0
11440125,1500,2,19926,2,1,4875
11200114,663,1,505,0,0,2379
11200115,723,3,29,2,0,3540
11680111,1104,0,6959,0,0,1513
11110119,0,0,0,0,0,0
11110142,0,0,0,0,0,0
11140111,13,2,62,1,0,0
11110178,0,0,0,0,0,0
11200118,314,0,0,0,0,0
11710104,671,3,12,2,0,1023
11110145,0,0,0,0,0,0
11380101,264,2,0,0,0,1003
11680115,1141,1,6563,0,0,0
11110124,0,0,0,0,0,0
11305103,2895,10,14693,2,7,1898
11140110,0,0,0,0,0,0
11140108,0,0,0,0,0,0
11140168,0,0,0,8,0,0
11110175,416,2,42,0,0,1463
11545103,3218,8,474,1,2,1549
11170123,0,1,0,0,0,0
11440103,0,1,0,0,0,0
11110102,0,0,0,0,0,0
11560132,2238,5,165,0,2,1191
11260106,2056,2,12981,0,2,1878
11140162,1953,20,56,2,1,718
11590109,874,11,10842,0,4,3818
11530101,521,2,222,0,0,2728
11620102,3222,8,1209,0,0,2342
11110120,0,1,0,0,0,0
11110121,0,0,0,0,0,0
11680107,1203,1,216,0,0,0
11380109,754,4,219,0,0,835
11230101,890,2,2197,0,0,5498
11440111,401,2,0,0,0,1099
11110186,0,0,0,0,0,0
11650111,435,0,36,0,0,558
11470103,3658,5,152,0,2,1741
11440117,0,0,0,0,0,0
11470101,3888,7,19587,0,3,5291
11170114,0,0,0,0,0,0
11710102,0,8,421,1,0,0
11410114,258,1,21597,0,0,6323
11140147,0,0,0,0,0,0
11320105,1928,2,3318,1,2,569
11440101,384,0,76,0,0,2141
11110141,0,0,0,0,0,0
11290121,0,0,0,0,0,0
11290122,328,0,2316,0,0,2574
11290123,0,0,0,0,0,0
11290124,0,0,0,0,0,0
11290125,0,0,0,0,1,0
11740107,1546,4,319,1,1,2283
11680110,259,5,245,0,0,2568
11650102,1436,3,186,1,0,4726
11560134,0,0,0,0,0,0
11560125,425,2,34,0,0,2084
11560126,376,0,0,0,0,0
11560127,0,3,0,0,0,0
11560128,0,0,145,1,0,0
11560129,0,0,0,5,0,0
11560130,0,0,0,0,0,0
11560131,0,0,0,0,0,0
11560110,409,5,11802,30,0,5977
11680101,823,7,3371,15,3,5618
11380108,1222,4,19849,0,1,3712
11110166,0,0,0,2,0,0
11440124,306,2,0,0,0,1144
11110160,0,0,0,0,0,0
11410117,787,1,10815,0,2,2406
11650110,0,0,0,10,0,0
11440109,230,1,0,0,0,0
11500101,623,3,277,1,0,3224
11560101,1165,1,12001,0,0,7934
11560102,0,0,0,0,0,0
11560103,0,0,0,0,1,0
11560104,0,0,0,0,0,0
11560105,0,2,0,0,0,0
11560106,0,6,0,0,0,0
11560107,0,0,0,0,0,0
11560108,0,0,0,0,1,0
11560109,0,1,0,1,0,0
11410108,0,0,0,0,0,0
11140135,0,0,0,0,0,0
11140142,0,0,0,0,0,0
11110158,0,2,0,0,0,0
11500112,0,0,0,0,0,0
11710112,782,2,3192,0,3,3114
11530108,1950,3,4636,21,0,1655
11500113,0,0,0,0,0,0
11140154,0,1,0,0,0,0
11200113,439,2,5,0,0,738
11110111,0,0,0,0,0,0
11410107,0,0,0,0,0,0
11530110,0,0,0,0,0,0
11110130,0,0,0,0,0,0
11500107,0,0,0,0,0,0
11440105,346,1,0,0,0,2240
11200122,380,2,10,0,0,2206
11230102,0,4,795,0,0,0
11170121,260,0,0,0,0,826
11170106,0,0,0,0,0,0
11170102,273,0,0,0,0,724
11170126,0,0,0,0,0,0
11170103,0,0,0,0,0,0
11170127,0,0,0,0,0,0
11170135,0,3,0,0,0,0
11650103,0,0,4341,0,1,0
11305104,601,0,449,2,0,2544
11110132,0,0,0,0,0,0
11110159,0,0,0,0,0,0
11110149,0,0,0,0,0,0
11650104,0,0,0,0,0,0
11170112,251,1,0,0,0,0
11170113,249,0,0,7,0,0
11170117,0,1,0,0,0,0
11170118,0,0,0,0,0,0
11350102,2940,2,16161,0,1,1966
11680113,0,0,0,0,3,0
11140104,0,0,0,0,0,0
11140105,0,0,0,0,0,0
11140155,49,0,7,0,0,2484
11140150,0,1,0,0,0,0
11140151,0,0,0,0,0,0
11140148,0,10,0,2,0,0
11140149,0,1,0,0,0,0
11200108,297,0,0,0,0,198
11380107,1869,6,5408,0,0,3118
11140169,0,0,0,0,0,0
11140172,0,0,0,0,0,0
11230110,1081,5,280,0,1,807
11170129,493,0,0,0,0,184
11170130,312,2,0,0,0,767
11110165,192,0,11160,0,0,4091
11110133,205,0,6650,0,0,11940
11110136,0,0,0,0,0,0
11110157,0,2,0,0,0,0
11140160,0,0,0,0,0,0
11140134,0,0,0,0,0,0
11680114,1433,1,5844,0,0,1194
11140156,0,0,0,0,0,0
11680112,0,0,0,0,0,0
11215105,2087,7,312,0,0,2609
11710101,1745,10,1023,0,0,3581
11650106,339,6,146,3,0,1582
11140109,0,1,0,0,0,0
11110154,0,0,0,0,0,0
11230106,1773,5,403,0,0,3893
11290138,1409,4,398,0,0,1448
11710109,1185,0,5017,2,0,0
11140143,125,0,58,0,0,1080
11140144,0,0,0,0,0,0
11110147,0,0,0,0,0,0
11140131,0,0,0,0,0,0
11140161,0,0,0,0,1,0
11110107,0,0,0,0,0,0
11230104,1423,5,902,0,0,1167
11140167,0,0,0,2,0,0
11290133,2003,1,40,0,0,1425
11230103,816,5,96,3,0,4075
11110126,0,1,0,0,0,0
11110138,0,0,0,0,0,0
11110156,0,0,0,0,0,0
11110161,0,0,0,0,0,0
11110163,0,0,0,0,0,0
11110164,0,3,0,0,0,0
11290135,920,1,3157,0,0,2386
11140152,0,1,0,0,0,0
11170134,0,0,0,0,0,0
11140141,0,0,0,0,0,0
11350106,3572,6,14072,0,5,3545
11215101,2089,7,263,0,0,1834
11440126,0,0,0,0,1,0
11140171,294,0,11,0,0,945
11110125,0,0,0,0,0,0
11260103,1480,2,248,1,0,3431
11380110,390,0,25,0,1,919
11380114,1102,2,7052,0,0,2414
11320107,2940,7,5252,0,0,3458
11110105,0,0,0,0,0,0
11110174,679,3,109,0,0,231
11440114,397,1,96,0,0,1516
11410116,0,1,0,0,0,0
11410106,447,0,15,0,0,934
11530111,0,0,0,0,0,0
11740109,2598,6,6369,1,2,6409
11680104,299,3,43,3,0,2599
11230107,776,1,203,0,0,2712
11170116,0,0,0,0,0,0
11110101,0,0,0,0,0,0
11110122,0,0,0,0,0,0
11170109,0,0,0,0,0,0
11170110,424,0,17,0,0,1455
11170111,0,0,0,0,0,0
11110112,0,0,0,0,1,0
11140159,0,0,0,0,0,0
11140124,0,2,0,0,0,0
11140125,0,2,0,0,0,0
11140158,0,0,0,0,0,0
11140132,0,1,0,0,0,0
11140133,0,0,0,0,0,0
11110167,0,0,0,0,0,0
11140170,0,0,0,0,0,0
11410101,0,0,0,0,0,0
11410102,0,0,0,0,0,0
11140103,0,0,0,0,0,0
11140114,0,0,0,0,0,0
11440106,0,0,0,0,0,0
11110106,0,0,0,0,0,0
11110108,0,0,0,0,0,0
11110139,0,0,0,0,0,0
11110177,0,0,0,0,0,0
11110183,284,0,184,0,0,2372
11710103,840,2,7882,0,0,4557
11140137,0,0,0,0,0,0
11140138,85,0,24,1,0,1865
11140139,0,0,0,0,0,0
11110113,0,0,0,0,0,0
11350104,1629,1,22843,0,4,445
11200102,379,1,49,0,0,754
11290136,587,5,133,0,1,2680
11440116,0,0,0,0,0,0
11170124,0,1,0,0,0,0
11170125,283,4,1367,0,0,5831
11170128,0,5,0,2,0,0
11170131,384,1,111,2,0,2210
11410103,0,0,0,0,0,0
11440122,330,1,37,0,0,1919
11530112,0,0,0,0,0,0
11200107,881,6,545,0,0,865
11110181,0,0,0,0,0,0
11440112,0,0,0,0,0,0
11410109,0,0,0,0,0,0
11110169,304,0,86,0,0,2503
11410118,1306,0,3608,3,1,1881
11200103,0,1,0,0,0,0
11410111,1340,4,177,0,0,760
11110185,0,0,0,0,0,0
11110179,0,0,0,0,0,0
11500103,5217,8,3442,0,6,2830
11110143,0,0,0,0,0,0
11215107,319,2,2131,0,0,4833
11140165,309,3,34,0,0,4764
11230108,184,4,2847,0,0,2230
11140121,0,2,1127,0,0,0
11140122,0,0,0,6,1,0
11140123,0,0,0,0,0,0
11110104,0,0,0,0,0,0
11110162,158,0,43,0,0,4206
11170119,172,0,816,0,3,457
11170101,627,0,0,0,1,716
11110150,0,0,0,0,0,0
11230109,941,0,5731,0,1,1386
11590105,665,1,2857,0,0,2740
11140163,0,1,0,0,0,0
